date,action_id,action_type,ratio,price,shares_traded,fee_paid,cash,holdings,total_assets
2017-01-27,2,BUY,0.35750000000000004,54.04999923706055,0.0,4.609533693743622e-44,2.6785796142502277e-42,1541.3969273999005,83312.50274997209
2017-01-30,5,BUY,0.62,54.2400016784668,0.0,5.136245445881879e-44,1.0178602534150865e-42,1541.3969273999005,83605.37192935417
2017-01-31,5,BUY,0.62,53.61000061035156,0.0,1.9517732694351144e-44,3.8678689629773285e-43,1541.3969273999005,82634.29021870269
2017-02-01,2,BUY,0.35750000000000004,53.43000030517578,0.0,4.276587075044521e-45,2.4851058087129334e-43,1541.3969273999005,82356.83830137369
2017-02-02,2,BUY,0.35750000000000004,53.150001525878906,0.0,2.7477071957161044e-45,1.5966804820980597e-43,1541.3969273999005,81925.24904328978
2017-02-03,5,BUY,0.62,52.65999984741211,0.0,3.061675975981846e-45,6.067385831972627e-44,1541.3969273999005,81169.96196168025
2017-02-06,2,BUY,0.35750000000000004,52.97999954223633,0.0,6.70852711834087e-46,3.8982953970424125e-44,1541.3969273999005,81663.2085080512
2017-02-07,5,BUY,0.62,52.880001068115234,0.0,7.475081895359678e-46,1.4813522508761166e-44,1541.3969273999005,81509.07116729628
2017-02-08,5,BUY,0.62,53.27000045776367,0.0,2.8405311202366773e-46,5.629138553329243e-45,1541.3969273999005,82110.21502818822
2017-02-09,5,BUY,0.62,52.88999938964844,0.0,1.0794018256899372e-46,2.1390726502651125e-45,1541.3969273999005,81524.48254938671
2017-02-10,5,BUY,0.62,52.880001068115234,0.0,4.101726937621762e-47,8.128476071007428e-46,1541.3969273999005,81509.07116729628
2017-02-13,5,BUY,0.62,54.0,0.0,1.5586562362962695e-47,3.0888209069828226e-46,1541.3969273999005,83235.43407959463
2017-02-14,5,BUY,0.62,54.93000030517578,0.0,5.922893697925824e-48,1.1737519446534728e-46,1541.3969273999005,84668.93369247354
2017-02-15,5,BUY,0.62,55.47999954223633,0.0,2.250699605211814e-48,4.460257389683197e-47,1541.3969273999005,85516.70082655096
2017-02-16,5,BUY,0.62,56.4900016784668,0.0,8.552658499804893e-49,1.6948978080796147e-47,1541.3969273999005,87073.51501600395
2017-02-17,5,BUY,0.62,56.880001068115234,0.0,3.2500102299258587e-49,6.440611670702536e-48,1541.3969273999005,87674.65887689588
2017-02-20,5,BUY,0.62,56.459999084472656,0.0,1.2350038873718265e-49,2.447432434866964e-48,1541.3969273999005,87027.26910980734
2017-02-21,5,BUY,0.62,56.459999084472656,0.0,4.6930147720129405e-50,9.300243252494463e-49,1541.3969273999005,87027.26910980734
2017-02-22,5,BUY,0.62,56.75,0.0,1.7833456133649177e-50,3.534092435947896e-49,1541.3969273999005,87474.27562994436
2017-02-23,5,BUY,0.62,57.09999847412109,0.0,6.776713330786687e-51,1.3429551256602003e-49,1541.3969273999005,88013.76220254925
2017-02-24,5,BUY,0.62,57.13999938964844,0.0,2.5751510656989408e-51,5.103229477508762e-50,1541.3969273999005,88075.4194908363
